SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CV_PCT_PREMIUM,DELTA,YIELD(YIELD_TYPE=YTM),CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS,ID,ID_ISIN,SECURITY_TYP,"CLASSIFICATION_NAME(BICS,2)",PAYMENT_RANK,YIELD(YIELD_TYPE=YTW),CV_COMMON_TICKER_EXCH,CV_CNVS_PX,CV_CNVS_RATIO,PARITY,AMT_OUTSTANDING_USD,DATA_SOURCE,CAST_PARENT_EQUITY_TICKER
Bond_14,B,98.76,2.59,Issuer_A,2028-04-03,GBP,,,0.11,DE,314800000.0,N,Corporates,XS0000000140 Corp,XS0000000140,Bond,Real Estate,1.5 Lien,-0.788,,,,,409240000.0,SYNTHETIC DEMO - not market data,DEMO14 US Equity
Bond_15,AA,104.16,0.29,Issuer_A,2025-06-03,EUR,27.85,0.49,2.7,JP,159350000.0,Y,Corporates,XS0000000157 Corp,XS0000000157,Convertible,Regional & Local,Jr Subordinated,2.481,DEMO15 US Equity,91.8921,10.882328295903566,81.4704732107939,175285000.0,SYNTHETIC DEMO - not market data,DEMO15 US Equity
Bond_16,CCC,93.81,0.48,Issuer_D,2030-07-14,JPY,,,4.32,US,353010000.0,N,Governments,XS0000000165 Corp,XS0000000165,Bond,Renewable Energy,Secured,3.528,,,,,2471070.0,SYNTHETIC DEMO - not market data,DEMO16 US Equity
Bond_17,AAA,98.05,1.7,Issuer_A,2028-04-07,JPY,14.02,0.18,2.31,US,249410000.0,Y,Corporates,XS0000000173 Corp,XS0000000173,Convertible,Retail & Wholesale - Staples,Sr Unsecured,2.246,DEMO17 US Equity,95.9888,10.417882086243395,85.9936853183652,1745870.0,SYNTHETIC DEMO - not market data,DEMO17 US Equity
Bond_18,AAA,103.04,2.7,Issuer_A,2026-04-06,JPY,48.56,0.21,2.01,US,124090000.0,Y,Corporates,XS0000000181 Corp,XS0000000181,Convertible,Retail & Whsle - Discretionary,Unsecured,1.328,DEMO18 US Equity,149.7299,6.678692766107505,69.35918147549812,868630.0,SYNTHETIC DEMO - not market data,DEMO18 US Equity
Bond_19,CCC,95.3,3.92,Issuer_D,2029-07-23,JPY,15.48,0.3,4.84,US,386590000.0,Y,Corporates,XS0000000199 Corp,XS0000000199,Convertible,Software & Tech Services,Asset Backed,3.964,DEMO19 US Equity,191.6869,5.216840587437117,82.52511257360581,2706130.0,SYNTHETIC DEMO - not market data,DEMO19 US Equity
Bond_20,AAA,101.68,2.51,Issuer_B,2025-09-03,EUR,6.85,0.07,4.31,JP,103950000.0,Y,Corporates,XS0000000207 Corp,XS0000000207,Convertible,Supranationals,Sr Non Preferred,3.701,DEMO20 US Equity,135.0109,7.406809376131854,95.16144127281235,114345000.00000001,SYNTHETIC DEMO - not market data,DEMO20 US Equity
Bond_21,AAA,102.39,2.1,Issuer_C,2029-04-22,GBP,23.87,0.4,3.36,GB,255750000.0,Y,Corporates,XS0000000215 Corp,XS0000000215,Convertible,Tech Hardware & Semiconductors,Sr Preferred,3.341,DEMO21 US Equity,78.3481,12.763551381590618,82.65923952530878,332475000.0,SYNTHETIC DEMO - not market data,DEMO21 US Equity
Bond_22,AAA,99.17,4.99,Issuer_A,2026-09-07,GBP,13.25,0.35,0.34,DE,216290000.0,Y,Corporates,XS0000000223 Corp,XS0000000223,Convertible,Telecommunications,Sr Subordinated,0.254,DEMO22 US Equity,190.4509,5.250697161315594,87.56732891832229,281177000.0,SYNTHETIC DEMO - not market data,DEMO22 US Equity
Bond_23,D,106.67,3.52,Issuer_A,2035-09-10,USD,93.89,0.13,0.58,US,384090000.0,Y,Corporates,XS0000000231 Corp,XS0000000231,Convertible,Utilities,1st lien,0.315,DEMO23 US Equity,118.9646,8.405861911862857,55.01573056887926,384090000.0,SYNTHETIC DEMO - not market data,DEMO23 US Equity
Bond_24,BB,95.64,1.05,Issuer_C,2028-11-21,GBP,50.54,0.25,4.54,US,91530000.0,Y,Corporates,XS0000000249 Corp,XS0000000249,Convertible,Banking,2nd lien,3.545,DEMO24 US Equity,76.1089,13.139067835693329,63.53128736548426,118989000.0,SYNTHETIC DEMO - not market data,DEMO24 US Equity
Bond_25,BB,90.88,1.67,Issuer_B,2035-05-06,JPY,,,2.76,JP,302410000.0,N,Corporates,XS0000000256 Corp,XS0000000256,Bond,Consumer Discretionary Products,1.5 Lien,2.172,,,,,2116870.0,SYNTHETIC DEMO - not market data,DEMO25 US Equity
Bond_26,AA,108.9,3.46,Issuer_B,2033-01-27,GBP,58.25,0.15,0.64,GB,214090000.0,Y,Corporates,XS0000000264 Corp,XS0000000264,Convertible,Consumer Discretionary Services,Jr Subordinated,0.42,DEMO26 US Equity,61.4207,16.281156027202556,68.81516587677726,278317000.0,SYNTHETIC DEMO - not market data,DEMO26 US Equity
Bond_27,B,94.2,1.25,Issuer_A,2030-09-28,JPY,97.38,0.75,4.63,DE,439070000.0,Y,Corporates,XS0000000272 Corp,XS0000000272,Convertible,Consumer Staple Products,Secured,3.961,DEMO27 US Equity,62.8408,15.913228348461509,47.72520012159287,3073490.0,SYNTHETIC DEMO - not market data,DEMO27 US Equity
Bond_28,CCC,90.5,3.68,Issuer_C,2031-11-28,EUR,26.68,0.79,0.54,US,436370000.0,Y,Corporates,XS0000000280 Corp,XS0000000280,Convertible,Financial Services,Sr Unsecured,0.35,DEMO28 US Equity,165.3495,6.047795729651435,71.43984843700663,480007000.00000006,SYNTHETIC DEMO - not market data,DEMO28 US Equity
Bond_29,BBB,106.33,2.3,Issuer_C,2028-04-01,EUR,39.85,0.28,0.35,GB,208020000.0,Y,Corporates,XS0000000298 Corp,XS0000000298,Convertible,Health Care,Unsecured,0.252,DEMO29 US Equity,197.1497,5.072287708274474,76.03146228101537,228822000.00000003,SYNTHETIC DEMO - not market data,DEMO29 US Equity
Bond_30,NR,96.62,0.14,Issuer_C,2027-10-09,USD,,,0.54,JP,205560000.0,N,Corporates,XS0000000306 Corp,XS0000000306,Bond,Industrial Products,Asset Backed,0.118,,,,,205560000.0,SYNTHETIC DEMO - not market data,DEMO30 US Equity
Bond_31,CCC,102.12,2.56,Issuer_D,2034-04-09,USD,,,3.54,US,283960000.0,N,Governments,XS0000000314 Corp,XS0000000314,Bond,Industrial Services,Sr Non Preferred,3.261,,,,,283960000.0,SYNTHETIC DEMO - not market data,DEMO31 US Equity
Bond_32,B,98.63,4.74,Issuer_C,2034-06-22,USD,71.98,0.3,1.55,JP,196780000.0,Y,Corporates,XS0000000322 Corp,XS0000000322,Convertible,Insurance,Sr Preferred,0.627,DEMO32 US Equity,64.9652,15.392856483163294,57.34969182463077,196780000.0,SYNTHETIC DEMO - not market data,DEMO32 US Equity
Bond_33,NR,92.55,2.1,Issuer_D,2035-12-06,GBP,,,2.03,US,186740000.0,N,Corporates,XS0000000330 Corp,XS0000000330,Bond,Materials,Sr Subordinated,1.061,,,,,242762000.0,SYNTHETIC DEMO - not market data,DEMO33 US Equity
Bond_34,CCC,105.72,3.03,Issuer_C,2032-08-15,EUR,51.12,0.79,4.8,DE,346480000.0,Y,Corporates,XS0000000348 Corp,XS0000000348,Convertible,Media,1st lien,3.951,DEMO34 US Equity,186.7461,5.354864171192865,69.95764955002646,381128000.00000006,SYNTHETIC DEMO - not market data,DEMO34 US Equity
Bond_35,NR,103.28,3.1,Issuer_A,2028-11-10,EUR,,,4.03,DE,60990000.0,N,Corporates,XS0000000355 Corp,XS0000000355,Bond,National,2nd lien,3.045,,,,,67089000.00000001,SYNTHETIC DEMO - not market data,DEMO35 US Equity
Bond_36,D,102.23,3.84,Issuer_D,2031-11-19,EUR,71.83,0.38,2.0,DE,345230000.0,Y,Corporates,XS0000000363 Corp,XS0000000363,Convertible,Oil & Gas,1.5 Lien,1.216,DEMO36 US Equity,67.7366,14.763067529223493,59.49484956061224,379753000.00000006,SYNTHETIC DEMO - not market data,DEMO36 US Equity
Bond_37,AA,105.57,1.09,Issuer_D,2025-09-08,USD,45.65,0.8,3.34,GB,477520000.0,Y,Corporates,XS0000000371 Corp,XS0000000371,Convertible,Real Estate,Jr Subordinated,3.043,DEMO37 US Equity,47.8634,20.892790733629454,72.48197734294541,477520000.0,SYNTHETIC DEMO - not market data,DEMO37 US Equity
Bond_38,NR,98.53,4.53,Issuer_D,2027-12-28,JPY,,,2.25,DE,427940000.0,N,Corporates,XS0000000389 Corp,XS0000000389,Bond,Regional & Local,Secured,1.747,,,,,2995580.0,SYNTHETIC DEMO - not market data,DEMO38 US Equity
Bond_39,NR,99.69,1.2,Issuer_D,2026-12-10,EUR,,,1.36,GB,451860000.0,N,Corporates,XS0000000397 Corp,XS0000000397,Bond,Renewable Energy,Sr Unsecured,0.507,,,,,497046000.00000006,SYNTHETIC DEMO - not market data,DEMO39 US Equity
Bond_40,A,93.02,1.92,Issuer_B,2028-02-14,JPY,33.09,0.47,0.31,JP,225260000.0,Y,Corporates,XS0000000405 Corp,XS0000000405,Convertible,Retail & Wholesale - Staples,Unsecured,-0.651,DEMO40 US Equity,48.3379,20.687700541397124,69.89255391088737,1576820.0,SYNTHETIC DEMO - not market data,DEMO40 US Equity
Bond_41,CCC,99.54,4.71,Issuer_C,2031-07-18,EUR,48.82,0.27,2.43,JP,201260000.0,Y,Corporates,XS0000000413 Corp,XS0000000413,Convertible,Retail & Whsle - Discretionary,Asset Backed,2.184,DEMO41 US Equity,180.2517,5.547797884846578,66.88617121354658,221386000.00000003,SYNTHETIC DEMO - not market data,DEMO41 US Equity
Bond_42,A,106.81,4.6,Issuer_A,2031-10-19,USD,,,0.42,JP,111060000.0,N,Corporates,XS0000000421 Corp,XS0000000421,Bond,Software & Tech Services,Sr Non Preferred,0.216,,,,,111060000.0,SYNTHETIC DEMO - not market data,DEMO42 US Equity
Bond_43,A,91.01,1.9,Issuer_B,2032-06-11,JPY,,,1.39,JP,163520000.0,N,Corporates,XS0000000439 Corp,XS0000000439,Bond,Supranationals,Sr Preferred,0.674,,,,,1144640.0,SYNTHETIC DEMO - not market data,DEMO43 US Equity
Bond_44,D,90.39,2.7,Issuer_C,2028-11-03,USD,75.42,0.95,1.0,US,329600000.0,Y,Corporates,XS0000000447 Corp,XS0000000447,Convertible,Tech Hardware & Semiconductors,Sr Subordinated,0.604,DEMO44 US Equity,62.9635,15.882217475203888,51.527761942765935,329600000.0,SYNTHETIC DEMO - not market data,DEMO44 US Equity
Bond_45,A,99.47,0.57,Issuer_B,2032-12-09,GBP,16.78,0.61,3.74,US,400010000.0,Y,Corporates,XS0000000454 Corp,XS0000000454,Convertible,Telecommunications,1st lien,2.744,DEMO45 US Equity,199.7218,5.006964687880842,85.17725637951705,520013000.0,SYNTHETIC DEMO - not market data,DEMO45 US Equity
Bond_46,BB,92.16,0.13,Issuer_C,2034-11-13,JPY,94.15,0.2,2.96,DE,95860000.0,Y,Corporates,XS0000000462 Corp,XS0000000462,Convertible,Utilities,2nd lien,2.802,DEMO46 US Equity,86.5149,11.558702604984806,47.46845222765902,671020.0,SYNTHETIC DEMO - not market data,DEMO46 US Equity
Bond_47,AA,105.92,2.83,Issuer_A,2030-09-14,GBP,,,0.34,GB,55690000.0,N,Corporates,XS0000000470 Corp,XS0000000470,Bond,Banking,1.5 Lien,-0.477,,,,,72397000.0,SYNTHETIC DEMO - not market data,DEMO47 US Equity
Bond_48,D,92.11,4.8,Issuer_D,2027-07-06,GBP,,,3.08,JP,259190000.0,N,Corporates,XS0000000488 Corp,XS0000000488,Bond,Consumer Discretionary Products,Jr Subordinated,2.781,,,,,336947000.0,SYNTHETIC DEMO - not market data,DEMO48 US Equity
Bond_49,B,107.03,4.15,Issuer_A,2029-08-08,JPY,,,2.85,JP,201380000.0,N,Corporates,XS0000000496 Corp,XS0000000496,Bond,Consumer Discretionary Services,Secured,2.187,,,,,1409660.0,SYNTHETIC DEMO - not market data,DEMO49 US Equity
Bond_50,B,93.64,1.06,Issuer_C,2030-05-20,GBP,,,2.78,DE,88530000.0,N,Corporates,XS0000000504 Corp,XS0000000504,Bond,Consumer Staple Products,Sr Unsecured,1.841,,,,,115089000.0,SYNTHETIC DEMO - not market data,DEMO50 US Equity
Bond_51,D,101.1,1.2,Issuer_D,2035-12-16,JPY,,,3.96,US,182410000.0,N,Governments,XS0000000512 Corp,XS0000000512,Bond,Financial Services,Unsecured,3.826,,,,,1276870.0,SYNTHETIC DEMO - not market data,DEMO51 US Equity
Bond_52,BBB,96.12,2.91,Issuer_D,2033-09-12,JPY,,,4.98,GB,208310000.0,N,Corporates,XS0000000520 Corp,XS0000000520,Bond,Health Care,Asset Backed,4.865,,,,,1458170.0,SYNTHETIC DEMO - not market data,DEMO52 US Equity
Bond_53,BB,96.13,1.15,Issuer_B,2030-02-24,EUR,,,0.96,JP,174420000.0,N,Corporates,XS0000000538 Corp,XS0000000538,Bond,Industrial Products,Sr Non Preferred,0.853,,,,,191862000.00000003,SYNTHETIC DEMO - not market data,DEMO53 US Equity
Bond_54,AA,106.65,1.48,Issuer_C,2027-05-01,EUR,,,1.37,US,299010000.0,N,Corporates,XS0000000546 Corp,XS0000000546,Bond,Industrial Services,Sr Preferred,0.817,,,,,328911000.0,SYNTHETIC DEMO - not market data,DEMO54 US Equity
Bond_55,D,92.05,0.06,Issuer_C,2032-08-15,GBP,18.44,0.05,4.71,JP,101340000.0,Y,Corporates,XS0000000553 Corp,XS0000000553,Convertible,Insurance,Sr Subordinated,4.105,DEMO55 US Equity,69.0227,14.487987285342358,77.71867612293143,131742000.0,SYNTHETIC DEMO - not market data,DEMO55 US Equity
Bond_56,CCC,99.83,2.89,Issuer_A,2027-03-26,GBP,8.52,0.25,2.79,JP,322840000.0,Y,Corporates,XS0000000561 Corp,XS0000000561,Convertible,Materials,1st lien,2.698,DEMO56 US Equity,172.2987,5.803874318262413,91.992259491338,419692000.0,SYNTHETIC DEMO - not market data,DEMO56 US Equity
Bond_57,NR,97.61,4.54,Issuer_C,2034-07-10,USD,60.96,0.74,4.74,DE,331480000.0,Y,Corporates,XS0000000579 Corp,XS0000000579,Convertible,Media,2nd lien,4.188,DEMO57 US Equity,153.4216,6.51798703702738,60.642395626242546,331480000.0,SYNTHETIC DEMO - not market data,DEMO57 US Equity
Bond_58,AA,93.14,0.87,Issuer_A,2027-01-14,JPY,,,3.45,JP,181070000.0,N,Corporates,XS0000000587 Corp,XS0000000587,Bond,National,1.5 Lien,2.615,,,,,1267490.0,SYNTHETIC DEMO - not market data,DEMO58 US Equity
Bond_59,BB,104.14,3.51,Issuer_D,2026-11-08,GBP,78.78,0.63,3.31,DE,241310000.0,Y,Corporates,XS0000000595 Corp,XS0000000595,Convertible,Oil & Gas,Jr Subordinated,3.162,DEMO59 US Equity,124.8517,8.00950247373484,58.250363575344,313703000.0,SYNTHETIC DEMO - not market data,DEMO59 US Equity
Bond_60,A,108.17,4.13,Issuer_A,2025-03-26,GBP,59.5,0.82,4.61,JP,105960000.0,Y,Corporates,XS0000000603 Corp,XS0000000603,Convertible,Real Estate,Secured,4.36,DEMO60 US Equity,57.8138,17.296908350601413,67.81818181818183,137748000.0,SYNTHETIC DEMO - not market data,DEMO60 US Equity
Bond_61,CCC,108.85,2.5,Issuer_D,2032-02-20,USD,,,4.45,GB,321670000.0,N,Governments,XS0000000611 Corp,XS0000000611,Bond,Regional & Local,Sr Unsecured,3.52,,,,,321670000.0,SYNTHETIC DEMO - not market data,DEMO61 US Equity
Bond_62,AA,94.58,3.37,Issuer_A,2035-05-19,USD,76.31,0.18,2.59,JP,462230000.0,Y,Corporates,XS0000000629 Corp,XS0000000629,Convertible,Renewable Energy,Unsecured,1.614,DEMO62 US Equity,175.629,5.693820496615024,53.64414950938687,462230000.0,SYNTHETIC DEMO - not market data,DEMO62 US Equity
Bond_63,CCC,102.7,2.46,Issuer_A,2032-06-14,GBP,32.11,0.1,0.8,JP,362150000.0,Y,Corporates,XS0000000637 Corp,XS0000000637,Convertible,Retail & Wholesale - Staples,Asset Backed,-0.064,DEMO63 US Equity,164.4023,6.08263996306621,77.7382484293392,470795000.0,SYNTHETIC DEMO - not market data,DEMO63 US Equity
Bond_64,CCC,106.27,2.75,Issuer_D,2026-06-09,GBP,,,0.58,JP,439210000.0,N,Corporates,XS0000000645 Corp,XS0000000645,Bond,Retail & Whsle - Discretionary,Sr Non Preferred,0.358,,,,,570973000.0,SYNTHETIC DEMO - not market data,DEMO64 US Equity
Bond_65,NR,99.24,0.27,Issuer_C,2034-08-21,JPY,76.0,0.2,2.75,GB,247150000.0,Y,Corporates,XS0000000652 Corp,XS0000000652,Convertible,Software & Tech Services,Sr Preferred,2.29,DEMO65 US Equity,166.9856,5.988540329225993,56.38636363636363,1730050.0,SYNTHETIC DEMO - not market data,DEMO65 US Equity
Bond_66,AA,90.58,3.15,Issuer_B,2027-05-18,USD,,,2.76,US,151120000.0,N,Governments,XS0000000660 Corp,XS0000000660,Bond,Supranationals,Sr Subordinated,1.896,,,,,151120000.0,SYNTHETIC DEMO - not market data,DEMO66 US Equity
Bond_67,D,108.94,3.24,Issuer_B,2032-12-10,GBP,41.55,0.48,2.36,JP,298070000.0,Y,Corporates,XS0000000678 Corp,XS0000000678,Convertible,Tech Hardware & Semiconductors,1st lien,2.081,DEMO67 US Equity,194.04,5.153576582148011,76.96220416813847,387491000.0,SYNTHETIC DEMO - not market data,DEMO67 US Equity
Bond_68,BBB,108.44,2.54,Issuer_B,2026-05-25,JPY,,,1.7,GB,419250000.0,N,Corporates,XS0000000686 Corp,XS0000000686,Bond,Telecommunications,2nd lien,0.73,,,,,2934750.0,SYNTHETIC DEMO - not market data,DEMO68 US Equity
Bond_69,BB,106.75,2.9,Issuer_D,2027-08-18,JPY,,,1.73,JP,254910000.0,N,Corporates,XS0000000694 Corp,XS0000000694,Bond,Utilities,1.5 Lien,1.551,,,,,1784370.0,SYNTHETIC DEMO - not market data,DEMO69 US Equity
Bond_70,BBB,109.62,1.19,Issuer_D,2028-07-02,GBP,,,3.72,JP,223740000.0,N,Corporates,XS0000000702 Corp,XS0000000702,Bond,Banking,Jr Subordinated,2.757,,,,,290862000.0,SYNTHETIC DEMO - not market data,DEMO70 US Equity
Bond_71,D,109.3,0.63,Issuer_C,2026-08-04,JPY,1.53,0.14,4.35,DE,83670000.0,Y,Corporates,XS0000000710 Corp,XS0000000710,Convertible,Consumer Discretionary Products,Secured,4.242,DEMO71 US Equity,67.7839,14.752765774763624,107.65291046981187,585690.0,SYNTHETIC DEMO - not market data,DEMO71 US Equity
Bond_72,B,102.47,1.99,Issuer_A,2030-11-28,JPY,,,4.77,JP,442570000.0,N,Corporates,XS0000000728 Corp,XS0000000728,Bond,Consumer Discretionary Services,Sr Unsecured,4.193,,,,,3097990.0,SYNTHETIC DEMO - not market data,DEMO72 US Equity
Bond_73,AA,94.7,3.42,Issuer_C,2028-12-03,JPY,97.83,0.76,3.52,US,249660000.0,Y,Corporates,XS0000000736 Corp,XS0000000736,Convertible,Consumer Staple Products,Unsecured,2.811,DEMO73 US Equity,65.8501,15.186005791942609,47.869382803417075,1747620.0,SYNTHETIC DEMO - not market data,DEMO73 US Equity
Bond_74,AAA,90.92,3.98,Issuer_C,2030-06-14,EUR,,,1.22,JP,304670000.0,N,Corporates,XS0000000744 Corp,XS0000000744,Bond,Financial Services,Asset Backed,0.856,,,,,335137000.0,SYNTHETIC DEMO - not market data,DEMO74 US Equity
Bond_75,A,93.5,3.05,Issuer_D,2034-11-08,JPY,91.28,0.14,2.31,GB,256810000.0,Y,Corporates,XS0000000751 Corp,XS0000000751,Convertible,Health Care,Sr Non Preferred,1.646,DEMO75 US Equity,32.5953,30.679269710663807,48.881221246340445,1797670.0,SYNTHETIC DEMO - not market data,DEMO75 US Equity
Bond_76,D,108.02,3.39,Issuer_B,2026-08-12,GBP,63.89,0.42,1.25,GB,139650000.0,Y,Corporates,XS0000000769 Corp,XS0000000769,Convertible,Industrial Products,Sr Preferred,0.848,DEMO76 US Equity,93.5107,10.693963364620306,65.91006162670084,181545000.0,SYNTHETIC DEMO - not market data,DEMO76 US Equity
Bond_77,D,92.13,1.91,Issuer_C,2034-05-23,GBP,,,0.11,JP,173520000.0,N,Corporates,XS0000000777 Corp,XS0000000777,Bond,Industrial Services,Sr Subordinated,-0.506,,,,,225576000.0,SYNTHETIC DEMO - not market data,DEMO77 US Equity
Bond_78,D,106.66,4.51,Issuer_B,2034-06-08,EUR,62.09,0.68,3.6,DE,332710000.0,Y,Corporates,XS0000000785 Corp,XS0000000785,Convertible,Insurance,1st lien,3.052,DEMO78 US Equity,74.171,13.482358334119803,65.8029489789623,365981000.0,SYNTHETIC DEMO - not market data,DEMO78 US Equity
Bond_79,BB,105.77,0.17,Issuer_C,2027-02-10,GBP,74.75,0.18,0.66,GB,288880000.0,Y,Corporates,XS0000000793 Corp,XS0000000793,Convertible,Materials,2nd lien,0.446,DEMO79 US Equity,99.5888,10.041289783590122,60.52646638054363,375544000.0,SYNTHETIC DEMO - not market data,DEMO79 US Equity
Bond_80,A,95.14,4.12,Issuer_D,2029-12-28,GBP,,,4.02,JP,483300000.0,N,Corporates,XS0000000801 Corp,XS0000000801,Bond,Media,1.5 Lien,3.387,,,,,628290000.0,SYNTHETIC DEMO - not market data,DEMO80 US Equity
Bond_81,BBB,107.2,3.62,Issuer_D,2033-06-03,JPY,1.39,0.54,2.27,GB,313050000.0,Y,Corporates,XS0000000819 Corp,XS0000000819,Convertible,National,Jr Subordinated,1.452,DEMO81 US Equity,80.3339,12.448044972296875,105.7303481605681,2191350.0,SYNTHETIC DEMO - not market data,DEMO81 US Equity
Bond_82,AA,103.5,2.36,Issuer_C,2034-04-21,USD,,,3.18,JP,459220000.0,N,Corporates,XS0000000827 Corp,XS0000000827,Bond,Oil & Gas,Secured,2.705,,,,,459220000.0,SYNTHETIC DEMO - not market data,DEMO82 US Equity
Bond_83,CCC,92.33,0.23,Issuer_A,2029-08-04,USD,,,1.17,DE,224890000.0,N,Corporates,XS0000000835 Corp,XS0000000835,Bond,Real Estate,Sr Unsecured,0.32,,,,,224890000.0,SYNTHETIC DEMO - not market data,DEMO83 US Equity
Bond_84,NR,98.38,3.71,Issuer_B,2031-11-04,JPY,,,3.08,GB,64720000.0,N,Corporates,XS0000000843 Corp,XS0000000843,Bond,Regional & Local,Unsecured,3.007,,,,,453040.0,SYNTHETIC DEMO - not market data,DEMO84 US Equity
Bond_85,BBB,98.87,4.75,Issuer_C,2026-11-12,GBP,,,0.3,GB,135410000.0,N,Corporates,XS0000000850 Corp,XS0000000850,Bond,Renewable Energy,Asset Backed,-0.114,,,,,176033000.0,SYNTHETIC DEMO - not market data,DEMO85 US Equity
