SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CNV_PREM,DELTA,YLD_YTM_MID,CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS
Bond_30,AAA,106.37,0.27,Issuer_C,2029-07-15,GBP,93.64,0.7,0.39,US,327000000,Y,Corporates
Bond_31,BB,97.49,1.58,Issuer_D,2027-04-25,EUR,20.53,0.85,3.35,JP,525000000,N,Governments
Bond_32,B,108.11,3.56,Issuer_D,2028-07-23,EUR,69.96,0.09,4.49,GB,689000000,N,Corporates
Bond_33,BB,109.41,3.31,Issuer_C,2028-10-27,GBP,34.81,0.16,0.81,US,872000000,Y,Corporates
Bond_34,A,104.22,3.33,Issuer_D,2028-03-11,JPY,31.19,0.79,3.69,JP,536000000,N,Governments
Bond_35,CCC,90.31,2.58,Issuer_A,2029-07-18,USD,34.31,0.65,2.44,DE,202000000,Y,Corporates
Bond_36,B,99.67,0.82,Issuer_B,2029-05-05,JPY,50.37,0.55,0.19,US,767000000,Y,Corporates
Bond_37,CCC,104.86,2.41,Issuer_C,2033-10-08,JPY,39.12,0.01,0.62,DE,396000000,N,Corporates
Bond_38,AAA,109.46,4.47,Issuer_D,2031-09-26,JPY,23.37,0.25,0.17,JP,752000000,Y,Corporates
Bond_39,AAA,102.74,0.79,Issuer_C,2030-11-06,EUR,66.31,0.64,2.5,GB,645000000,Y,Corporates
Bond_40,BBB,94.22,3.85,Issuer_A,2025-10-25,GBP,73.27,0.79,4.02,FR,325000000,Y,Corporates
Bond_42,CCC,93.83,0.3,Issuer_A,2028-05-23,EUR,75.69,0.14,4.33,DE,965000000,Y,Corporates
Bond_44,BB,96.32,0.17,Issuer_B,2027-10-05,GBP,51.54,0.04,4.64,FR,578000000,Y,Corporates
Bond_45,B,102.6,1.19,Issuer_D,2026-01-03,JPY,49.82,0.43,0.77,JP,870000000,N,Governments
Bond_47,A,98.69,3.49,Issuer_A,2031-11-11,JPY,30.82,0.9,1.38,FR,357000000,Y,Corporates
Bond_48,AAA,106.62,0.15,Issuer_B,2035-10-28,EUR,11.06,0.73,0.98,GB,910000000,N,Governments
Bond_50,A,104.81,2.01,Issuer_A,2032-06-15,GBP,17.55,0.06,0.79,US,224000000,Y,Corporates
Bond_51,A,95.67,2.61,Issuer_B,2030-01-13,JPY,53.79,0.64,1.79,JP,258000000,Y,Corporates
Bond_52,A,105.89,1.1,Issuer_C,2030-07-16,USD,54.93,0.89,0.58,US,61000000,N,Corporates
Bond_54,AA,100.81,2.77,Issuer_B,2028-02-24,JPY,98.48,0.04,3.82,DE,106000000,N,Governments
Bond_55,A,95.82,4.08,Issuer_B,2031-09-16,USD,88.2,0.38,4.95,DE,254000000,Y,Corporates
Bond_56,AA,91.01,2.16,Issuer_C,2032-05-24,USD,10.54,0.51,2.48,GB,937000000,Y,Corporates
Bond_57,BBB,97.49,1.62,Issuer_B,2031-05-04,USD,73.0,0.07,3.02,FR,920000000,Y,Corporates
Bond_61,A,104.54,1.91,Issuer_D,2025-07-25,EUR,35.82,0.77,1.15,GB,529000000,Y,Corporates
Bond_64,B,106.37,3.32,Issuer_D,2035-09-27,GBP,43.78,0.35,3.18,JP,52000000,Y,Corporates
Bond_65,AA,95.01,0.33,Issuer_D,2034-12-21,EUR,71.77,0.95,0.04,US,142000000,Y,Corporates
Bond_66,A,109.49,4.28,Issuer_C,2033-02-16,JPY,92.98,0.49,4.23,FR,697000000,N,Governments
Bond_67,AAA,96.89,1.05,Issuer_C,2026-03-21,EUR,23.59,0.18,4.83,FR,734000000,Y,Corporates
Bond_68,AA,107.17,4.85,Issuer_D,2027-08-05,GBP,4.24,0.01,3.94,US,346000000,N,Corporates
Bond_70,CCC,102.01,2.68,Issuer_A,2028-11-15,GBP,85.62,0.63,1.68,DE,657000000,N,Governments
Bond_71,AA,102.54,3.52,Issuer_C,2035-11-22,USD,81.52,0.31,3.57,JP,178000000,N,Governments
Bond_72,AAA,107.65,4.13,Issuer_A,2033-08-09,GBP,40.36,0.68,2.9,DE,739000000,N,Governments
Bond_73,BB,92.93,4.79,Issuer_C,2029-04-09,JPY,83.24,0.11,2.61,GB,770000000,Y,Corporates
Bond_76,BB,99.45,1.07,Issuer_B,2025-02-26,EUR,48.16,0.6,0.01,DE,285000000,Y,Corporates
Bond_77,BBB,109.12,4.74,Issuer_B,2026-06-08,EUR,50.32,0.82,4.67,US,32000000,Y,Corporates
Bond_78,BBB,102.55,2.93,Issuer_B,2032-11-23,EUR,64.55,0.16,1.16,DE,170000000,Y,Corporates
Bond_79,CCC,108.46,0.17,Issuer_A,2033-11-16,EUR,99.49,0.75,2.64,FR,57000000,N,Governments
Bond_80,BB,90.09,0.72,Issuer_A,2030-06-04,EUR,15.07,0.91,0.16,DE,613000000,N,Corporates
Bond_81,B,92.34,4.11,Issuer_C,2033-07-06,GBP,56.36,0.62,1.42,US,241000000,Y,Corporates
Bond_82,CCC,105.58,1.13,Issuer_A,2027-07-02,EUR,25.44,0.08,3.26,JP,608000000,N,Corporates
Bond_83,CCC,93.6,4.62,Issuer_A,2035-04-13,EUR,36.63,0.43,0.63,DE,502000000,Y,Corporates
Bond_84,AAA,103.97,2.43,Issuer_D,2025-08-28,JPY,44.55,0.4,0.84,DE,104000000,N,Corporates
Bond_85,BBB,105.88,0.01,Issuer_A,2028-02-12,GBP,85.03,0.01,3.9,DE,203000000,Y,Corporates
Bond_86,BBB,100.16,0.26,Issuer_A,2025-01-24,EUR,24.6,0.57,2.98,GB,725000000,N,Governments
Bond_87,BB,99.29,0.21,Issuer_A,2026-08-12,JPY,75.6,0.97,1.98,FR,367000000,Y,Corporates
Bond_88,A,97.63,0.06,Issuer_A,2033-05-07,USD,14.53,0.39,3.74,FR,489000000,Y,Corporates
Bond_89,CCC,90.06,3.58,Issuer_D,2034-07-10,JPY,83.81,0.57,2.51,FR,260000000,N,Corporates
Bond_91,B,104.24,4.54,Issuer_C,2029-02-06,EUR,15.13,0.84,1.14,US,559000000,N,Corporates
Bond_92,BBB,96.21,2.71,Issuer_B,2035-07-14,JPY,26.25,0.87,2.35,DE,823000000,N,Corporates
Bond_93,B,94.21,4.93,Issuer_C,2033-04-01,USD,19.2,0.7,1.11,US,590000000,Y,Corporates
Bond_94,AA,98.83,2.76,Issuer_B,2029-01-26,GBP,51.87,0.26,1.85,JP,809000000,N,Governments
Bond_95,AA,108.62,1.9,Issuer_A,2031-12-07,JPY,86.91,0.76,3.36,JP,754000000,Y,Corporates
Bond_96,AAA,106.27,3.76,Issuer_D,2025-04-17,GBP,63.98,0.24,4.53,US,50000000,N,Governments
Bond_97,AAA,95.96,1.02,Issuer_D,2034-05-04,EUR,36.6,0.68,4.18,US,306000000,Y,Corporates
Bond_98,B,99.97,3.09,Issuer_D,2026-01-17,JPY,3.32,0.7,0.45,JP,112000000,N,Corporates
Bond_99,BBB,106.42,1.31,Issuer_C,2029-01-16,EUR,3.61,0.6,1.09,GB,451000000,N,Governments
Bond_101,AAA,108.55,3.99,Issuer_C,2034-12-14,JPY,92.06,0.28,2.42,JP,424000000,Y,Corporates
Bond_102,AAA,91.14,0.53,Issuer_C,2028-01-10,USD,7.34,0.36,4.06,FR,959000000,N,Governments
Bond_103,CCC,94.12,0.69,Issuer_D,2033-01-26,USD,64.54,0.2,1.58,JP,639000000,N,Governments
Bond_104,B,102.39,1.52,Issuer_C,2035-12-08,JPY,7.7,0.21,4.91,GB,210000000,Y,Corporates
Bond_107,A,103.18,4.75,Issuer_C,2029-02-03,GBP,48.18,0.71,2.72,FR,797000000,N,Corporates
Bond_108,BBB,105.72,0.19,Issuer_C,2025-05-10,JPY,10.03,0.55,2.19,GB,514000000,N,Corporates
Bond_109,BB,96.92,3.63,Issuer_B,2029-08-02,JPY,12.41,0.55,0.73,FR,447000000,Y,Corporates
Bond_110,BB,94.96,4.52,Issuer_B,2033-02-12,GBP,22.71,0.34,3.94,US,331000000,N,Governments
Bond_112,CCC,96.71,4.92,Issuer_A,2035-11-05,USD,59.02,0.4,0.74,FR,429000000,Y,Corporates
Bond_114,CCC,108.36,2.37,Issuer_B,2030-04-16,EUR,48.82,0.84,0.82,FR,870000000,Y,Corporates
Bond_115,B,106.71,3.28,Issuer_B,2033-10-08,USD,31.48,0.34,3.35,GB,682000000,Y,Corporates
Bond_116,BB,104.58,3.03,Issuer_A,2032-06-28,EUR,94.02,0.28,1.75,GB,215000000,Y,Corporates
Bond_117,AAA,90.43,1.09,Issuer_A,2026-03-22,USD,96.74,0.83,2.54,DE,713000000,N,Corporates
Bond_118,CCC,92.5,3.54,Issuer_C,2030-05-18,USD,12.51,0.93,3.44,GB,78000000,N,Governments
Bond_119,BB,102.19,3.95,Issuer_B,2030-01-17,EUR,63.0,0.99,2.07,US,511000000,Y,Corporates
Bond_120,B,103.53,3.73,Issuer_B,2029-11-10,GBP,21.11,0.23,0.74,FR,142000000,Y,Corporates
Bond_121,BB,105.84,3.63,Issuer_D,2034-06-05,GBP,16.87,0.77,2.53,FR,386000000,N,Governments
Bond_125,AA,95.94,2.05,Issuer_C,2034-03-12,USD,79.18,0.88,1.12,DE,276000000,N,Governments
Bond_127,CCC,102.49,1.15,Issuer_C,2031-04-01,USD,52.73,0.99,3.68,JP,214000000,N,Governments
Bond_128,AA,106.77,2.65,Issuer_C,2029-04-12,EUR,53.8,0.48,3.08,JP,530000000,Y,Corporates
Bond_129,CCC,106.2,3.62,Issuer_C,2033-10-26,USD,22.62,0.02,4.13,US,619000000,Y,Corporates
Bond_130,B,102.8,2.94,Issuer_B,2033-11-15,JPY,73.82,0.16,1.94,US,955000000,Y,Corporates
Bond_131,A,100.08,2.27,Issuer_A,2033-04-22,JPY,87.9,0.62,0.64,GB,441000000,N,Governments
Bond_133,B,91.11,4.76,Issuer_A,2034-05-25,USD,4.28,0.98,4.79,US,307000000,Y,Corporates
Bond_134,CCC,106.42,4.56,Issuer_A,2027-12-20,USD,14.72,0.64,0.32,DE,565000000,Y,Corporates
Bond_135,BB,100.95,1.16,Issuer_C,2032-05-21,GBP,82.66,0.75,4.52,JP,511000000,N,Governments
Bond_137,CCC,95.25,1.91,Issuer_C,2025-11-14,GBP,91.09,0.35,2.34,US,40000000,N,Governments
Bond_138,AAA,95.66,1.72,Issuer_C,2029-03-15,JPY,86.53,0.95,0.12,JP,582000000,N,Corporates
Bond_139,AAA,98.7,0.35,Issuer_A,2032-04-02,JPY,98.69,0.01,1.45,DE,942000000,Y,Corporates
Bond_140,A,93.99,3.6,Issuer_C,2032-06-22,EUR,77.62,0.88,3.09,US,19000000,N,Corporates
Bond_141,AA,107.02,2.39,Issuer_B,2029-05-24,GBP,80.49,0.28,3.71,DE,331000000,N,Corporates
Bond_142,CCC,99.5,4.7,Issuer_B,2025-07-20,USD,55.59,0.74,1.1,DE,231000000,Y,Corporates
Bond_143,BBB,100.93,4.23,Issuer_B,2033-03-08,JPY,3.11,0.05,3.77,FR,908000000,Y,Corporates
Bond_144,AA,97.9,3.95,Issuer_A,2029-03-20,GBP,26.15,0.74,0.54,GB,151000000,N,Governments
Bond_145,B,107.1,3.02,Issuer_C,2026-04-11,GBP,78.72,0.59,3.34,DE,54000000,Y,Corporates
Bond_146,AAA,96.12,1.72,Issuer_D,2034-01-08,USD,63.56,0.05,3.92,DE,311000000,N,Corporates
Bond_147,AAA,96.96,1.33,Issuer_C,2025-03-08,EUR,11.57,0.56,3.38,DE,688000000,Y,Corporates
Bond_148,AAA,102.3,4.43,Issuer_A,2028-08-07,GBP,32.26,0.29,0.93,GB,832000000,Y,Corporates
Bond_150,BB,93.15,4.96,Issuer_C,2032-09-28,GBP,33.03,0.16,0.6,DE,689000000,Y,Corporates
Bond_151,AAA,93.7,3.55,Issuer_D,2035-08-21,USD,64.9,0.46,3.01,JP,124000000,N,Corporates
Bond_152,B,106.03,3.09,Issuer_B,2030-07-16,USD,46.02,0.38,4.26,JP,396000000,N,Governments
Bond_154,BBB,98.68,4.53,Issuer_B,2028-07-05,EUR,38.18,0.27,4.68,JP,917000000,Y,Corporates
Bond_156,BB,106.12,1.31,Issuer_C,2028-04-02,USD,23.71,0.18,0.11,FR,290000000,N,Governments
Bond_158,A,94.88,0.88,Issuer_D,2029-12-06,EUR,20.57,0.58,2.81,GB,180000000,N,Governments
Bond_159,BBB,107.21,4.13,Issuer_D,2035-01-25,USD,72.99,0.96,2.74,GB,809000000,Y,Corporates
Bond_160,AAA,106.35,3.68,Issuer_C,2027-08-27,GBP,15.63,0.16,2.47,FR,864000000,Y,Corporates
Bond_161,A,104.39,1.32,Issuer_B,2026-01-16,GBP,77.45,0.35,4.01,GB,516000000,Y,Corporates
Bond_162,B,94.6,0.11,Issuer_A,2026-08-03,EUR,70.49,0.21,0.91,FR,696000000,Y,Corporates
Bond_163,AAA,106.64,2.75,Issuer_D,2028-08-16,JPY,41.65,0.13,3.01,DE,441000000,Y,Corporates
Bond_164,BBB,104.03,0.43,Issuer_B,2031-07-05,JPY,5.25,0.55,3.88,DE,727000000,Y,Corporates
Bond_165,AAA,105.74,1.88,Issuer_B,2029-02-10,JPY,27.61,0.9,3.12,FR,33000000,Y,Corporates
Bond_166,AAA,101.33,0.86,Issuer_C,2032-10-22,GBP,75.48,0.31,4.13,JP,816000000,Y,Corporates
Bond_167,AA,99.48,1.1,Issuer_B,2029-07-18,JPY,19.83,0.02,3.56,GB,444000000,Y,Corporates
Bond_168,B,103.3,4.65,Issuer_B,2032-11-28,GBP,67.02,0.17,3.2,GB,121000000,N,Governments
Bond_169,BB,103.98,1.77,Issuer_D,2033-05-04,EUR,63.75,0.77,4.25,DE,451000000,Y,Corporates
Bond_171,A,102.79,4.54,Issuer_C,2026-08-24,USD,72.04,0.55,0.89,DE,891000000,Y,Corporates
Bond_173,B,103.21,4.77,Issuer_A,2028-10-21,USD,62.39,0.96,3.76,DE,352000000,Y,Corporates
Bond_174,B,99.55,1.15,Issuer_B,2031-05-28,GBP,1.07,0.49,2.0,DE,745000000,Y,Corporates
Bond_175,AAA,90.08,3.13,Issuer_A,2033-06-14,EUR,2.93,0.18,2.23,DE,12000000,Y,Corporates
Bond_176,AAA,92.25,1.92,Issuer_C,2035-09-13,JPY,82.37,0.01,2.52,GB,866000000,Y,Corporates
Bond_178,A,101.02,4.72,Issuer_D,2034-08-02,JPY,39.49,0.55,3.5,DE,967000000,N,Governments
Bond_179,AA,97.56,0.55,Issuer_B,2034-05-01,JPY,62.24,0.2,0.7,FR,818000000,Y,Corporates
Bond_180,AA,96.34,1.33,Issuer_C,2026-07-17,EUR,73.91,0.47,1.7,JP,78000000,Y,Corporates
Bond_181,AAA,108.01,2.12,Issuer_A,2033-07-27,GBP,27.22,0.42,1.99,FR,390000000,Y,Corporates
Bond_182,B,108.22,0.6,Issuer_A,2026-04-23,GBP,0.36,0.2,1.85,DE,684000000,Y,Corporates
Bond_183,A,102.34,4.25,Issuer_B,2025-09-07,GBP,50.33,0.05,3.33,FR,717000000,Y,Corporates
Bond_184,BBB,109.11,0.11,Issuer_A,2031-02-12,GBP,91.18,0.66,4.29,GB,968000000,N,Corporates
Bond_185,AA,97.34,2.41,Issuer_A,2026-03-13,EUR,10.96,0.57,1.96,JP,779000000,Y,Corporates
Bond_186,AA,102.02,1.64,Issuer_C,2026-09-06,USD,61.81,0.67,2.0,GB,734000000,N,Governments
Bond_188,AA,96.74,1.52,Issuer_A,2034-05-05,JPY,4.18,0.36,0.73,FR,93000000,N,Governments
Bond_189,AAA,96.95,2.52,Issuer_A,2025-10-03,JPY,44.84,0.6,1.57,US,166000000,Y,Corporates
Bond_192,B,104.02,0.67,Issuer_D,2029-02-03,JPY,83.76,0.03,1.26,JP,942000000,N,Corporates
Bond_193,AAA,102.76,4.9,Issuer_D,2030-06-03,JPY,51.68,0.35,0.45,JP,716000000,N,Corporates
Bond_194,BB,91.89,1.99,Issuer_A,2027-05-21,GBP,76.53,0.92,3.06,DE,442000000,Y,Corporates
Bond_195,BB,108.3,4.61,Issuer_D,2035-01-24,USD,46.76,0.46,0.48,FR,166000000,N,Corporates
Bond_196,A,103.09,3.48,Issuer_A,2034-09-05,GBP,8.76,0.04,2.53,JP,836000000,Y,Corporates
Bond_197,A,108.15,3.36,Issuer_B,2025-01-15,JPY,50.14,0.2,1.47,GB,645000000,Y,Corporates
Bond_198,BB,96.53,0.18,Issuer_C,2031-12-13,GBP,16.32,0.75,3.02,JP,846000000,N,Governments
Bond_199,AA,90.85,4.96,Issuer_A,2026-02-18,GBP,95.78,0.54,2.36,US,950000000,N,Corporates
Bond_200,AA,108.35,1.2,Issuer_A,2026-10-09,JPY,96.22,0.1,3.48,JP,493000000,N,Governments
Bond_201,B,105.99,1.3,Issuer_C,2030-05-23,JPY,60.21,0.39,4.69,GB,323000000,Y,Corporates
Bond_202,B,90.79,0.88,Issuer_D,2025-06-05,EUR,19.63,0.77,0.23,US,209000000,Y,Corporates
Bond_203,A,108.7,2.23,Issuer_C,2025-08-08,GBP,46.5,0.7,2.2,JP,772000000,Y,Corporates
Bond_204,A,101.13,4.4,Issuer_D,2027-02-23,GBP,52.57,0.18,4.6,GB,259000000,Y,Corporates
Bond_205,AAA,101.91,1.5,Issuer_B,2029-08-19,JPY,57.37,0.27,1.3,JP,316000000,Y,Corporates
Bond_206,AA,103.63,1.85,Issuer_C,2028-08-27,GBP,28.41,0.54,4.16,JP,854000000,Y,Corporates
Bond_207,BBB,100.0,4.83,Issuer_A,2026-12-12,USD,23.4,0.37,1.36,DE,586000000,Y,Corporates
Bond_208,CCC,102.0,4.49,Issuer_A,2027-11-27,USD,65.32,0.94,0.55,JP,563000000,Y,Corporates
Bond_209,AA,108.0,0.26,Issuer_C,2030-10-23,JPY,67.95,0.84,0.01,JP,455000000,N,Governments
Bond_210,B,99.94,1.65,Issuer_A,2035-08-18,EUR,75.22,0.72,1.97,FR,325000000,Y,Corporates
Bond_211,CCC,90.99,0.43,Issuer_C,2025-03-10,JPY,17.5,0.29,2.54,GB,282000000,Y,Corporates
Bond_212,B,97.74,1.65,Issuer_B,2032-07-05,EUR,70.56,0.34,2.54,DE,478000000,Y,Corporates
Bond_213,AAA,101.91,0.29,Issuer_D,2031-10-21,GBP,94.32,0.98,3.31,DE,153000000,N,Governments
Bond_214,BB,101.54,3.17,Issuer_B,2033-12-24,GBP,58.44,0.53,4.28,GB,154000000,Y,Corporates
Bond_215,BB,105.78,0.96,Issuer_B,2035-12-12,GBP,11.67,0.04,2.84,FR,726000000,Y,Corporates
Bond_216,A,100.83,4.99,Issuer_A,2031-02-18,EUR,35.96,0.41,1.9,FR,105000000,Y,Corporates
Bond_217,AA,93.81,1.75,Issuer_B,2027-07-23,USD,33.11,0.4,3.45,GB,896000000,N,Corporates
Bond_219,A,103.26,1.69,Issuer_C,2027-05-28,EUR,87.93,0.74,4.79,FR,852000000,Y,Corporates
Bond_221,CCC,98.99,3.26,Issuer_B,2034-07-13,JPY,47.28,0.73,2.92,US,192000000,Y,Corporates
Bond_222,BBB,92.72,3.93,Issuer_C,2031-03-23,EUR,23.64,0.05,2.83,US,206000000,N,Governments
Bond_223,BBB,96.34,1.83,Issuer_B,2029-08-20,EUR,82.0,0.12,3.83,FR,736000000,Y,Corporates
Bond_226,BB,94.74,4.19,Issuer_B,2028-06-12,USD,85.8,0.1,2.44,JP,748000000,N,Corporates
Bond_227,AAA,105.09,4.57,Issuer_A,2026-10-08,USD,1.71,0.16,0.18,JP,839000000,N,Governments
Bond_228,BBB,100.22,2.87,Issuer_C,2027-07-21,JPY,66.93,0.37,1.82,GB,87000000,Y,Corporates
Bond_230,BB,109.41,3.01,Issuer_D,2031-07-20,JPY,31.22,0.8,4.81,US,275000000,N,Governments
Bond_231,A,101.93,0.52,Issuer_C,2028-09-22,EUR,12.26,0.29,1.45,JP,866000000,Y,Corporates
Bond_232,BB,97.76,2.97,Issuer_A,2025-10-18,EUR,56.09,0.55,1.51,US,766000000,N,Governments
Bond_233,CCC,105.83,1.12,Issuer_C,2034-01-08,GBP,56.5,0.19,3.0,US,232000000,Y,Corporates
Bond_234,BB,104.12,0.61,Issuer_A,2029-12-09,GBP,29.93,0.66,4.33,US,748000000,N,Governments
Bond_235,BB,105.8,2.71,Issuer_D,2027-03-08,JPY,94.03,0.9,1.04,GB,863000000,Y,Corporates
Bond_236,AAA,106.55,0.88,Issuer_C,2033-04-28,USD,48.42,0.25,2.71,GB,328000000,N,Governments
Bond_237,AA,98.09,2.97,Issuer_C,2029-08-26,USD,70.74,0.6,2.0,US,78000000,N,Governments
Bond_238,A,100.31,0.43,Issuer_A,2025-03-24,JPY,87.82,0.91,2.78,FR,207000000,Y,Corporates
Bond_239,A,103.13,4.36,Issuer_B,2026-05-02,EUR,18.45,0.36,4.79,JP,274000000,Y,Corporates
Bond_240,AAA,96.15,3.52,Issuer_C,2025-10-26,EUR,76.12,0.24,2.71,JP,11000000,Y,Corporates
Bond_241,B,109.88,4.18,Issuer_B,2027-03-18,USD,14.08,0.64,2.5,FR,564000000,Y,Corporates
Bond_242,B,109.52,1.5,Issuer_A,2029-08-08,USD,11.35,0.23,4.55,JP,324000000,Y,Corporates
Bond_243,AA,92.67,2.06,Issuer_B,2025-03-04,EUR,31.94,0.76,2.68,DE,779000000,Y,Corporates
Bond_244,AAA,97.61,2.38,Issuer_C,2026-08-23,GBP,53.15,0.96,1.25,GB,473000000,Y,Corporates
Bond_245,AAA,107.03,4.34,Issuer_B,2029-09-25,EUR,45.07,0.87,4.08,DE,750000000,Y,Corporates
Bond_246,AAA,90.85,0.28,Issuer_C,2026-02-13,EUR,53.39,0.14,4.16,DE,436000000,Y,Corporates
Bond_247,B,94.2,3.54,Issuer_C,2025-04-17,EUR,5.49,0.56,0.64,DE,803000000,Y,Corporates
Bond_248,AAA,96.0,2.04,Issuer_D,2027-09-08,EUR,55.3,0.04,2.91,US,272000000,N,Corporates
Bond_250,A,96.61,4.43,Issuer_C,2035-06-02,JPY,96.9,0.58,2.54,JP,212000000,Y,Corporates
Bond_251,A,100.35,4.01,Issuer_D,2025-11-11,USD,80.38,0.52,2.97,US,294000000,Y,Corporates
Bond_253,CCC,101.13,2.9,Issuer_D,2029-02-15,JPY,1.63,0.92,0.26,FR,108000000,N,Corporates
Bond_254,CCC,106.93,3.57,Issuer_A,2031-01-11,GBP,9.31,1.0,0.94,GB,631000000,Y,Corporates
Bond_255,AAA,96.83,4.95,Issuer_C,2026-06-07,JPY,67.02,0.82,3.8,DE,620000000,Y,Corporates
Bond_256,B,109.01,1.09,Issuer_C,2035-05-09,EUR,13.43,0.84,3.18,JP,617000000,N,Corporates
Bond_258,CCC,95.49,2.74,Issuer_D,2032-05-22,JPY,12.02,0.26,2.88,US,732000000,N,Governments
Bond_259,AA,97.81,1.34,Issuer_A,2031-06-16,EUR,80.99,0.38,0.29,DE,102000000,N,Corporates
Bond_261,AA,107.49,3.89,Issuer_D,2028-01-06,JPY,61.05,0.71,3.19,DE,11000000,Y,Corporates
Bond_262,BB,99.62,0.33,Issuer_B,2035-04-17,USD,13.21,0.31,1.25,US,232000000,N,Governments
Bond_263,AAA,95.24,3.19,Issuer_A,2027-11-06,EUR,7.58,0.61,0.84,GB,99000000,Y,Corporates
Bond_264,BBB,98.74,3.37,Issuer_A,2025-04-27,GBP,68.09,0.25,4.69,JP,295000000,Y,Corporates
Bond_265,AA,105.12,1.83,Issuer_D,2032-08-09,GBP,53.64,0.15,2.98,FR,344000000,Y,Corporates
Bond_267,AAA,105.91,4.36,Issuer_C,2033-09-14,GBP,57.46,0.52,2.55,US,947000000,N,Governments
Bond_268,CCC,91.06,3.95,Issuer_C,2035-03-16,JPY,55.02,0.89,4.56,FR,25000000,Y,Corporates
Bond_269,AA,98.46,4.0,Issuer_D,2034-11-05,JPY,94.52,0.3,0.89,US,948000000,Y,Corporates
Bond_270,B,95.19,2.69,Issuer_B,2034-04-05,GBP,57.7,0.49,4.22,GB,453000000,Y,Corporates
Bond_271,CCC,91.62,2.92,Issuer_A,2034-03-01,GBP,14.8,0.2,0.97,GB,639000000,N,Governments
Bond_272,B,99.8,1.64,Issuer_B,2033-12-11,USD,89.99,0.53,4.48,JP,10000000,Y,Corporates
Bond_273,AA,92.89,1.39,Issuer_B,2030-04-25,JPY,88.79,0.39,1.85,GB,814000000,Y,Corporates
Bond_274,B,93.19,1.99,Issuer_D,2028-10-02,USD,23.74,0.49,4.45,DE,60000000,N,Governments
Bond_275,BBB,92.13,1.23,Issuer_D,2034-09-25,USD,61.09,0.29,3.38,GB,485000000,Y,Corporates
